SID,WORD,POS,LEVEL
266,conquer,verb,C1
267,conscience,noun,C1
268,consciousness,noun,C1
269,consecutive,adjective,C1
270,consensus,noun,C1
271,consent,noun,C1
272,consent,verb,C1
273,conserve,verb,C1
274,consistency,noun,C1
275,consolidate,verb,C1
276,constitute,verb,C1
277,constitution,noun,C1
278,constitutional,adjective,C1
279,constraint,noun,C1
280,consultation,noun,C1
281,contemplate,verb,C1
282,contempt,noun,C1
283,contend,verb,C1
284,contender,noun,C1
285,content,adjective,C1
286,contention,noun,C1
287,continually,adverb,C1
288,contractor,noun,C1
289,contradiction,noun,C1
290,contrary,adjective,C1
291,contrary,noun,C1
292,contributor,noun,C1
293,conversion,noun,C1
294,convict,verb,C1
295,conviction,noun,C1
296,cooperate,verb,C1
297,cooperative,adjective,C1
298,coordinate,verb,C1
299,coordination,noun,C1
300,coordinator,noun,C1
301,copper,noun,C1
302,copyright,noun,C1
303,correction,noun,C1
304,correlate,verb,C1
305,correlation,noun,C1
306,correspond,verb,C1
307,correspondence,noun,C1
308,correspondent,noun,C1
309,corresponding,adjective,C1
310,corrupt,adjective,C1
311,corruption,noun,C1
312,costly,adjective,C1
313,councilor,noun,C1
314,counseling,noun,C1
315,counselor,noun,C1
316,counter,verb,C1
317,counterpart,noun,C1
318,countless,adjective,C1
319,coup,noun,C1
320,courtesy,noun,C1
321,craft,verb,C1
322,crawl,verb,C1
323,creator,noun,C1
324,credibility,noun,C1
325,credible,adjective,C1
326,creep,verb,C1
327,critique,noun,C1
328,crown,noun,C1
329,crude,adjective,C1
330,crush,verb,C1
331,crystal,noun,C1
332,cult,noun,C1
333,cult,adjective,C1
334,cultivate,verb,C1
335,curiosity,noun,C1
336,custody,noun,C1
337,cutting,noun,C1
338,cynical,adjective,C1
339,dam,noun,C1
340,damaging,adjective,C1
341,dawn,noun,C1
342,debris,noun,C1
343,debut,noun,C1
344,decision-making,noun,C1
345,decisive,adjective,C1
346,declaration,noun,C1
347,dedicated,adjective,C1
348,dedication,noun,C1
349,deed,noun,C1
350,deem,verb,C1
351,default,noun,C1
352,defect,noun,C1
353,defensive,adjective,C1
354,deficiency,noun,C1
355,deficit,noun,C1
356,defy,verb,C1
357,delegate,noun,C1
358,delegation,noun,C1
359,delicate,adjective,C1
360,demon,noun,C1
361,denial,noun,C1
362,denounce,verb,C1
363,dense,adjective,C1
364,density,noun,C1
365,dependence,noun,C1
366,depict,verb,C1
367,deploy,verb,C1
368,deployment,noun,C1
369,deprive,verb,C1
370,deputy,noun,C1
371,descend,verb,C1
372,descent,noun,C1
373,designate,verb,C1
374,desirable,adjective,C1
375,desktop,noun,C1
376,destructive,adjective,C1
377,detain,verb,C1
378,detection,noun,C1
379,detention,noun,C1
380,deteriorate,verb,C1
381,devastate,verb,C1
382,devil,noun,C1
383,devise,verb,C1
384,diagnose,verb,C1
385,diagnosis,noun,C1
386,dictate,verb,C1
387,dictator,noun,C1
388,differentiate,verb,C1
389,dignity,noun,C1
390,dilemma,noun,C1
391,dimension,noun,C1
392,diminish,verb,C1
393,dip,verb,C1
394,diplomat,noun,C1
395,diplomatic,noun,C1
396,directory,noun,C1
397,disastrous,adjective,C1
398,discard,verb,C1
399,discharge,verb,C1
400,disclose,verb,C1
401,disclosure,noun,C1
402,discourse,noun,C1
403,discretion,noun,C1
404,discrimination,noun,C1
405,dismissal,noun,C1
406,displace,verb,C1
407,disposal,noun,C1
408,dispose,verb,C1
409,dispute,noun,C1
410,dispute,verb,C1
411,disrupt,verb,C1
412,disruption,noun,C1
413,dissolve,verb,C1
414,distinction,noun,C1
415,distinctive,adjective,C1
416,distort,verb,C1
417,distress,noun,C1
418,distress,verb,C1
419,disturbing,adjective,C1
420,divert,verb,C1
421,divine,adjective,C1
422,doctrine,noun,C1
423,documentation,noun,C1
424,domain,noun,C1
425,dominance,noun,C1
426,donor,noun,C1
427,dose,noun,C1
428,drain,verb,C1
429,drift,verb,C1
430,driving,adjective,C1
431,drown,verb,C1
432,dual,adjective,C1
433,dub,verb,C1
434,dumb,adjective,C1
435,duo,noun,C1
436,dynamic,noun,C1
437,earnings,noun,C1
438,ease,noun,C1
439,ease,verb,C1
440,echo,verb,C1
441,echo,noun,C1
442,ecological,adjective,C1
443,educator,noun,C1
444,effectiveness,noun,C1
445,efficiency,noun,C1
446,ego,noun,C1
447,elaborate,adjective,C1
448,electoral,adjective,C1
449,elevate,verb,C1
450,eligible,adjective,C1
451,elite,noun,C1
452,embark,verb,C1
453,embarrassment,noun,C1
454,embassy,noun,C1
455,embed,verb,C1
456,embody,verb,C1
457,emergence,noun,C1
458,empirical,adjective,C1
459,empower,verb,C1
460,enact,verb,C1
461,encompass,verb,C1
462,encouragement,noun,C1
463,encouraging,adjective,C1
464,endeavor,noun,C1
465,endless,adjective,C1
466,endorse,verb,C1
467,endorsement,noun,C1
468,endure,verb,C1
469,enforce,verb,C1
470,enforcement,noun,C1
471,engagement,noun,C1
472,engaging,adjective,C1
473,enrich,verb,C1
474,enroll,verb,C1
475,ensue,verb,C1
476,enterprise,noun,C1
477,enthusiast,noun,C1
478,entitle,verb,C1
479,entity,noun,C1
480,epidemic,noun,C1
481,equality,noun,C1
482,equation,noun,C1
483,erect,verb,C1
484,escalate,verb,C1
485,essence,noun,C1
486,establishment,noun,C1
487,eternal,adjective,C1
488,evacuate,verb,C1
489,evoke,verb,C1
490,evolutionary,adjective,C1
491,exaggerate,verb,C1
492,excellence,noun,C1
493,exceptional,adjective,C1
494,excess,noun,C1
495,excess,adjective,C1
496,exclusion,noun,C1
497,exclusive,adjective,C1
498,exclusively,adverb,C1
499,execute,verb,C1
500,execution,noun,C1
501,exert,verb,C1
502,exile,noun,C1
503,expenditure,noun,C1
504,experimental,adjective,C1
505,expire,verb,C1
506,explicit,adjective,C1
507,explicitly,adverb,C1
508,exploitation,noun,C1
509,explosive,adjective,C1
510,explosive,noun,C1
511,extract,verb,C1
512,extremist,noun,C1
513,facilitate,verb,C1
514,faction,noun,C1
515,fade,verb,C1
516,fairness,noun,C1
517,fatal,adjective,C1
518,fate,noun,C1
519,favorable,adjective,C1
520,feat,noun,C1
521,felony,noun,C1
522,feminist,noun,C1
523,fiber,noun,C1
524,fierce,adjective,C1
525,filmmaker,noun,C1
526,filter,noun,C1
527,fine,noun,C1
528,fine,verb,C1
529,firearm,noun,C1
530,fiscal,adjective,C1
531,fit,noun,C1
532,flaw,noun,C1
533,flawed,adjective,C1
534,flee,verb,C1
535,fleet,noun,C1
536,flesh,noun,C1
537,flexibility,noun,C1
538,flourish,verb,C1
539,fluid,noun,C1
540,footage,noun,C1
541,foreigner,noun,C1
542,forge,verb,C1
543,formula,noun,C1
544,formulate,verb,C1
545,forth,adverb,C1
546,forthcoming,adjective,C1
547,foster,verb,C1
548,fragile,adjective,C1
549,franchise,noun,C1
550,frankly,adverb,C1
551,freshman,noun,C1
552,frustrated,adjective,C1
553,frustrating,adjective,C1
554,frustration,noun,C1
555,functional,adjective,C1
556,fundraising,noun,C1
557,funeral,noun,C1
558,gambling,noun,C1
559,gathering,noun,C1
560,gaze,noun,C1
561,gaze,verb,C1
562,gear,noun,C1
563,generic,adjective,C1
564,genocide,noun,C1
565,gig,noun,C1
566,glance,noun,C1
567,glimpse,noun,C1
568,glorious,adjective,C1
569,glory,noun,C1
570,governance,noun,C1
571,grace,noun,C1
572,grasp,noun,C1
573,grasp,verb,C1
574,grave,noun,C1
575,grave,adjective,C1
576,gravity,noun,C1
577,grid,noun,C1
578,grief,noun,C1
579,grin,verb,C1
580,grin,noun,C1
581,grind,verb,C1
582,grip,noun,C1
583,grip,verb,C1
584,gross,adjective,C1
585,guerrilla,noun,C1
586,guidance,noun,C1
587,guilt,noun,C1
588,gut,noun,C1
589,hail,verb,C1
590,halfway,adverb,C1
591,halt,verb,C1
592,halt,noun,C1
593,handful,noun,C1
594,handling,noun,C1
595,handy,adjective,C1
596,harassment,noun,C1
597,hardware,noun,C1
598,harmony,noun,C1
599,harsh,adjective,C1
600,harvest,noun,C1
601,hatred,noun,C1
602,haunt,verb,C1
603,hazard,noun,C1
604,heighten,verb,C1
605,heritage,noun,C1
606,hierarchy,noun,C1
607,high-profile,adjective,C1
608,hint,noun,C1
609,homeland,noun,C1
610,hopeful,adjective,C1
611,horizon,noun,C1
612,horn,noun,C1
613,hostage,noun,C1
614,hostile,adjective,C1
615,hostility,noun,C1
616,humanitarian,adjective,C1
617,humanity,noun,C1
618,humble,adjective,C1
619,hydrogen,noun,C1
620,identification,noun,C1
621,ideological,adjective,C1
622,ideology,noun,C1
623,idiot,noun,C1
624,ignorance,noun,C1
625,imagery,noun,C1
626,immense,adjective,C1
627,imminent,adjective,C1
628,implementation,noun,C1
629,imprison,verb,C1
630,inability,noun,C1
631,inadequate,adjective,C1
632,inappropriate,adjective,C1
633,incarcerate,verb,C1
634,incarceration,noun,C1
635,incidence,noun,C1
636,inclined,adjective,C1
637,inclusion,noun,C1
638,incur,verb,C1
639,indicator,noun,C1
640,indictment,noun,C1
641,indigenous,adjective,C1
642,induce,verb,C1
643,indulge,verb,C1
644,inequality,noun,C1
645,infamous,adjective,C1
646,infant,noun,C1
647,infect,verb,C1
648,inflict,verb,C1
649,influential,adjective,C1
650,inherent,adjective,C1
651,inhibit,verb,C1
652,initiate,verb,C1
653,inject,verb,C1
654,injection,noun,C1
655,injustice,noun,C1
656,inmate,noun,C1
657,inquire,verb,C1
658,insertion,noun,C1
659,insider,noun,C1
660,inspect,verb,C1
661,inspection,noun,C1
662,inspiration,noun,C1
663,instinct,noun,C1
664,institutional,adjective,C1
665,instruct,verb,C1
666,instrumental,adjective,C1
667,insufficient,adjective,C1
668,insult,noun,C1
669,insult,verb,C1
670,intact,adjective,C1
671,intake,noun,C1
672,integral,adjective,C1
673,integrated,adjective,C1
674,integration,noun,C1
675,integrity,noun,C1
676,intellectual,noun,C1
677,intensify,verb,C1
678,intensity,noun,C1
679,intensive,adjective,C1
680,intent,noun,C1
681,interactive,adjective,C1
682,interface,noun,C1
683,interfere,verb,C1
684,interference,noun,C1
685,interim,adjective,C1
686,interior,adjective,C1
687,interior,noun,C1
688,intermediate,adjective,C1
689,intersection,noun,C1
690,intervene,verb,C1
691,intervention,noun,C1
692,intimate,adjective,C1
693,intriguing,adjective,C1
694,inventory,noun,C1
695,investigator,noun,C1
696,invisible,adjective,C1
697,invoke,verb,C1
698,involvement,noun,C1
699,ironic,adjective,C1
700,ironically,adverb,C1
701,irony,noun,C1
702,irrelevant,adjective,C1
703,isolation,noun,C1
704,judicial,adjective,C1
705,jurisdiction,noun,C1
706,just,adjective,C1
707,justification,noun,C1
708,keen,adjective,C1
709,kidnap,verb,C1
710,kidney,noun,C1
711,kingdom,noun,C1
712,landlord,noun,C1
713,landmark,noun,C1
714,lap,noun,C1
715,large-scale,adjective,C1
716,laser,noun,C1
717,latter,adjective,C1
718,latter,noun,C1
719,lawmaker,noun,C1
720,lawn,noun,C1
721,lawsuit,noun,C1
722,layout,noun,C1
723,leak,verb,C1
724,leak,noun,C1
725,leap,verb,C1
726,leap,noun,C1
727,legacy,noun,C1
728,legendary,adjective,C1
729,legislation,noun,C1
730,legislative,adjective,C1
731,legislature,noun,C1
732,legitimate,adjective,C1
733,lengthy,adjective,C1
734,lesbian,adjective,C1
735,lesser,adjective,C1
736,lethal,adjective,C1
737,liable,adjective,C1
738,liberal,adjective,C1
739,liberal,noun,C1
740,liberation,noun,C1
741,liberty,noun,C1
742,lifelong,adjective,C1
743,likelihood,noun,C1
744,limb,noun,C1
745,linear,adjective,C1
746,lineup,noun,C1
747,linger,verb,C1
748,listing,noun,C1
749,liter,noun,C1
750,literacy,noun,C1
751,liver,noun,C1
752,lobby,noun,C1
753,lobby,verb,C1
754,log,noun,C1
755,log,verb,C1
756,logic,noun,C1
757,long-standing,adjective,C1
758,longtime,adjective,C1
759,loom,verb,C1
760,loop,noun,C1
761,loyalty,noun,C1
762,machinery,noun,C1
763,magical,adjective,C1
764,magnetic,adjective,C1
765,magnitude,noun,C1
766,mainland,noun,C1
767,mainstream,noun,C1
768,maintenance,noun,C1
769,mandate,noun,C1
770,mandatory,adjective,C1
771,manifest,verb,C1
772,manipulate,verb,C1
773,manipulation,noun,C1
774,manuscript,noun,C1
775,march,noun,C1
776,march,verb,C1
777,marginal,adjective,C1
778,marine,adjective,C1
779,marketplace,noun,C1
780,mask,noun,C1
781,massacre,noun,C1
782,mathematical,adjective,C1
783,mature,adjective,C1
784,mature,verb,C1
785,maximize,verb,C1
786,meaningful,adjective,C1
787,meantime,noun,C1
788,medieval,adjective,C1
789,meditation,noun,C1
790,melody,noun,C1
791,memo,noun,C1
792,memoir,noun,C1
793,memorial,noun,C1
794,mentor,noun,C1
795,merchant,noun,C1
796,mercy,noun,C1
797,mere,adjective,C1
798,merely,adverb,C1
799,merge,verb,C1
800,merger,noun,C1
801,merit,noun,C1
802,methodology,noun,C1
803,midst,noun,C1
804,migration,noun,C1
805,militant,noun,C1
806,militant,adjective,C1
807,militia,noun,C1
808,mill,noun,C1
809,minimal,adjective,C1
810,minimize,verb,C1
811,mining,noun,C1
812,ministry,noun,C1
813,minute,adjective,C1
814,miracle,noun,C1
815,misery,noun,C1
816,misleading,adjective,C1
817,missile,noun,C1
818,mob,noun,C1
819,mobile,adjective,C1
820,mobility,noun,C1
821,mobilize,verb,C1
822,moderate,adjective,C1
823,modification,noun,C1
