SID,LEVEL,WORD,POS
1,A1,action,noun
2,A1,activity,noun
3,A1,actor,noun
4,A1,actress,noun
5,A1,add,verb
6,A1,address,noun
7,A1,adult,noun
8,A1,advice,noun
9,A1,afraid,adjective
10,A1,afternoon,noun
11,A1,again,adverb
12,A1,age,noun
13,A1,ago,adverb
14,A1,agree,verb
15,A1,airport,noun
16,A1,also,adverb
17,A1,always,adverb
18,A1,amazing,adjective
19,A1,angry,adjective
20,A1,animal,noun
21,A1,answer,noun
22,A1,apartment,noun
23,A1,apple,noun
24,A1,April,noun
25,A1,area,noun
26,A1,arm,noun
27,A1,arrive,verb
28,A1,art,noun
29,A1,article,noun
30,A1,artist,noun
31,A1,ask,verb
32,A1,August,noun
33,A1,aunt,noun
34,A1,away,adverb
35,A1,awesome,adjective
36,A1,baby,noun
37,A1,back,noun
38,A1,bad,adjective
39,A1,bag,noun
40,A1,ball,noun
41,A1,banana,noun
42,A1,band,noun
43,A1,bank,noun
44,A1,bar,noun
45,A1,baseball,noun
46,A1,basketball,noun
47,A1,bath,noun
48,A1,bathroom,noun
49,A1,be,verb
50,A1,beach,noun
51,A1,beautiful,adjective
52,A1,become,verb
53,A1,bed,noun
54,A1,bedroom,noun
55,A1,beer,noun
56,A1,begin,verb
57,A1,beginning,noun
58,A1,believe,verb
59,A1,below,adverb
60,A1,best,adjective
61,A1,better,adjective
62,A1,bicycle,noun
63,A1,big,adjective
64,A1,bike,noun
65,A1,bill,noun
66,A1,bird,noun
67,A1,birthday,noun
68,A1,black,adjective
69,A1,blog,noun
70,A1,blond,adjective
71,A1,blue,adjective
72,A1,boat,noun
73,A1,body,noun
74,A1,book,noun
75,A1,boot,noun
76,A1,bored,adjective
77,A1,boring,adjective
78,A1,born,verb
79,A1,bottle,noun
80,A1,box,noun
81,A1,boy,noun
82,A1,boyfriend,noun
83,A1,bread,noun
84,A1,break,verb
85,A1,breakfast,noun
86,A1,bring,verb
87,A1,brother,noun
88,A1,brown,adjective
89,A1,build,verb
90,A1,building,noun
91,A1,bus,noun
92,A1,business,noun
93,A1,busy,adjective
94,A1,butter,noun
95,A1,buy,verb
96,A1,cafe,noun
97,A1,cake,noun
98,A1,call,verb
99,A1,camera,noun
100,A1,capital,noun
101,A1,car,noun
102,A1,card,noun
103,A1,career,noun
104,A1,carrot,noun
105,A1,carry,verb
106,A1,cat,noun
107,A1,cent,noun
108,A1,center,noun
109,A1,chair,noun
110,A1,change,verb
111,A1,chart,noun
112,A1,cheap,adjective
113,A1,check,verb
114,A1,cheese,noun
115,A1,chicken,noun
116,A1,child,noun
117,A1,chocolate,noun
118,A1,choose,verb
119,A1,city,noun
120,A1,class,noun
121,A1,classroom,noun
122,A1,clean,adjective
123,A1,climb,verb
124,A1,clock,noun
125,A1,close,verb
126,A1,clothes,noun
127,A1,club,noun
128,A1,coat,noun
129,A1,coffee,noun
130,A1,cold,adjective
131,A1,college,noun
132,A1,color,noun
133,A1,come,verb
134,A1,common,adjective
135,A1,company,noun
136,A1,compare,verb
137,A1,complete,adjective
138,A1,computer,noun
139,A1,concert,noun
140,A1,conversation,noun
141,A1,cook,verb
142,A1,cooking,noun
143,A1,cool,adjective
144,A1,correct,adjective
145,A1,cost,noun
146,A1,country,noun
147,A1,course,noun
148,A1,cousin,noun
149,A1,cow,noun
150,A1,cream,noun
151,A1,create,verb
152,A1,culture,noun
153,A1,cup,noun
154,A1,customer,noun
155,A1,cut,verb
156,A1,dad,noun
157,A1,dance,noun
158,A1,dancer,noun
159,A1,dancing,noun
160,A1,dangerous,adjective
161,A1,dark,adjective
162,A1,date,noun
163,A1,daughter,noun
164,A1,day,noun
165,A1,dear,adjective
166,A1,December,noun
167,A1,decide,verb
168,A1,delicious,adjective
169,A1,describe,verb
170,A1,description,noun
171,A1,design,noun
172,A1,desk,noun
173,A1,detail,noun
174,A1,dialogue,noun
175,A1,dictionary,noun
176,A1,die,verb
177,A1,diet,noun
178,A1,difference,noun
179,A1,different,adjective
180,A1,difficult,adjective
181,A1,dinner,noun
182,A1,dirty,adjective
183,A1,discuss,verb
184,A1,dish,noun
185,A1,do,verb
186,A1,doctor,noun
187,A1,dog,noun
188,A1,dollar,noun
189,A1,door,noun
190,A1,downstairs,adverb
191,A1,draw,verb
192,A1,dress,noun
193,A1,drink,noun
194,A1,drive,verb
195,A1,driver,noun
196,A1,DVD,noun
197,A1,ear,noun
198,A1,early,adjective
199,A1,east,noun
200,A1,easy,adjective
201,A1,eat,verb
202,A1,egg,noun
203,A1,elephant,noun
204,A1,else,adverb
205,A1,email,noun
206,A1,end,noun
207,A1,enjoy,verb
208,A1,euro,noun
209,A1,even,adverb
210,A1,evening,noun
211,A1,event,noun
212,A1,ever,adverb
213,A1,exam,noun
214,A1,example,noun
215,A1,excited,adjective
216,A1,exciting,adjective
217,A1,exercise,noun
218,A1,expensive,adjective
219,A1,explain,verb
220,A1,extra,adjective
221,A1,eye,noun
222,A1,face,noun
223,A1,fact,noun
224,A1,fall,verb
225,A1,FALSE,adjective
226,A1,family,noun
227,A1,famous,adjective
228,A1,fantastic,adjective
229,A1,farm,noun
230,A1,farmer,noun
231,A1,fast,adjective
232,A1,fat,adjective
233,A1,father,noun
234,A1,favorite,adjective
235,A1,February,noun
236,A1,feel,verb
